CandidateValue,BaseName,BaseValue,N_multiple,Approx_N_times_Base,AbsError,RelError,Ratio,Ratio_p,Ratio_q,RatioApprox
-980.6742716796182,Sqrt3,1.7320508075688772,-20,-34.64101615137754,946.0332555282406,0.9646763281634305,-566.1925547415677,-14721,26,-566.1923076923077
-980.6742716796182,OneHalf,0.5,-20,-10.0,970.6742716796182,0.9898029342781953,-1961.3485433592364,-84338,43,-1961.3488372093022
-980.6742716796182,One,1.0,-20,-20.0,960.6742716796182,0.9796058685563906,-980.6742716796182,-42169,43,-980.6744186046511
-980.6742716796182,ThreeHalves,1.5,-20,-30.0,950.6742716796182,0.969408802834586,-653.7828477864122,-15037,23,-653.7826086956521
-980.6742716796182,Two,2.0,-20,-40.0,940.6742716796182,0.9592117371127813,-490.3371358398091,-30401,62,-490.33870967741933
-980.6742716796182,Three,3.0,-20,-60.0,920.6742716796182,0.9388176056691719,-326.8914238932061,-15037,46,-326.89130434782606
-618.2455392766104,GoldenRatio_phi,1.61803398875,-20,-32.360679775,585.8848595016104,0.9476572369404166,-382.0967566659285,-11845,31,-382.0967741935484
-618.2455392766104,PhiSquared,2.618033988750235,-20,-52.3606797750047,565.8848595016058,0.9153076303045061,-236.14878261062643,-11099,47,-236.14893617021278
-618.2455392766104,Pi,3.141592653589793,-20,-62.83185307179586,555.4136862048146,0.8983707134461278,-196.79366724077417,-12398,63,-196.79365079365078
-618.2455392766104,Euler_e,2.718281828459045,-20,-54.3656365691809,563.8799027074296,0.912064652123827,-227.43982349581646,-5686,25,-227.44
-618.2455392766104,Sqrt2,1.4142135623730951,-20,-28.284271247461902,589.9612680291485,0.9542507475580715,-437.16561326082524,-2623,6,-437.1666666666667
-618.2455392766104,Sqrt3,1.7320508075688772,-20,-34.64101615137754,583.6045231252328,0.9439688377017488,-356.9442285266364,-6425,18,-356.94444444444446
-618.2455392766104,OneHalf,0.5,-20,-10.0,608.2455392766104,0.9838251966820486,-1236.4910785532209,-70480,57,-1236.4912280701753
-618.2455392766104,One,1.0,-20,-20.0,598.2455392766104,0.9676503933640971,-618.2455392766104,-35240,57,-618.2456140350877
-618.2455392766104,ThreeHalves,1.5,-20,-30.0,588.2455392766104,0.9514755900461457,-412.1636928510736,-22669,55,-412.1636363636364
-618.2455392766104,Two,2.0,-20,-40.0,578.2455392766104,0.9353007867281942,-309.1227696383052,-17620,57,-309.12280701754383
-618.2455392766104,Three,3.0,-20,-60.0,558.2455392766104,0.9029511800922914,-206.0818464255368,-12571,61,-206.08196721311475
-584.5484244582616,GoldenRatio_phi,1.61803398875,-20,-32.360679775,552.1877446832616,0.9446398648580899,-361.27079438538254,-17341,48,-361.2708333333333
-584.5484244582616,PhiSquared,2.618033988750235,-20,-52.3606797750047,532.1877446832569,0.9104254197185963,-223.27763007282658,-4019,18,-223.27777777777777
-584.5484244582616,Pi,3.141592653589793,-20,-62.83185307179586,521.7165713864657,0.8925121505031407,-186.06754245822341,-10978,59,-186.0677966101695
-584.5484244582616,Euler_e,2.718281828459045,-20,-54.3656365691809,530.1827878890807,0.9069954955065271,-215.04334772735234,-4946,23,-215.04347826086956
-584.5484244582616,Sqrt2,1.4142135623730951,-20,-28.284271247461902,556.2641532107997,0.951613467654669,-413.33815486634904,-25627,62,-413.33870967741933
-584.5484244582616,Sqrt3,1.7320508075688772,-20,-34.64101615137754,549.907408306884,0.9407388426656327,-337.48919021534897,-15862,47,-337.48936170212767
-584.5484244582616,OneHalf,0.5,-20,-10.0,574.5484244582616,0.9828927774302572,-1169.0968489165232,-36242,31,-1169.0967741935483
-584.5484244582616,One,1.0,-20,-20.0,564.5484244582616,0.9657855548605143,-584.5484244582616,-18121,31,-584.5483870967741
-584.5484244582616,ThreeHalves,1.5,-20,-30.0,554.5484244582616,0.9486783322907715,-389.69894963884104,-24551,63,-389.6984126984127
-584.5484244582616,Two,2.0,-20,-40.0,544.5484244582616,0.9315711097210285,-292.2742122291308,-18121,62,-292.2741935483871
