Event,Detector,Constant,ObservedCount,ExpectedPerSegment,StdPerSegment,ZScore,ChiSquareApprox,PValueApprox
161217-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
161217-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170208-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170208-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170208-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170208-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170208-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170208-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170219-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170219-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170219-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170219-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170219-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170219-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170405-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170405-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170405-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
