Event,Detector,WindowType,Domain,Constant,Count
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Coulomb Constant (N m^2 C^-2),0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Coulomb Constant (N m^2 C^-2),0
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Planck Constant (J·s),93
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Planck Constant (J·s),2200
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Planck Constant (J·s),88
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Reduced Planck Constant (J·s),93
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Reduced Planck Constant (J·s),2200
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Reduced Planck Constant (J·s),88
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Electron Mass (kg),93
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Electron Mass (kg),2200
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Electron Mass (kg),88
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Proton Mass (kg),93
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Proton Mass (kg),2200
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Proton Mass (kg),88
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Neutron Mass (kg),93
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Neutron Mass (kg),2200
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Neutron Mass (kg),88
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Muon Mass (kg),93
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Muon Mass (kg),2200
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Muon Mass (kg),88
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Tau Mass (kg),93
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Tau Mass (kg),2200
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Tau Mass (kg),88
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Elementary Charge (C),93
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Elementary Charge (C),2200
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Elementary Charge (C),88
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Speed of Light (m/s),0
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Speed of Light (m/s),0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Speed of Light (m/s),0
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Hubble Constant (km/s/Mpc),0
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Hubble Constant (km/s/Mpc),0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Hubble Constant (km/s/Mpc),0
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Critical Density (kg/m^3),93
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Critical Density (kg/m^3),2200
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Critical Density (kg/m^3),88
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Baryon-to-Photon Ratio,93
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Baryon-to-Photon Ratio,2200
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Baryon-to-Photon Ratio,88
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Astronomical Unit (m),0
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Astronomical Unit (m),0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Astronomical Unit (m),0
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Parsec (m),0
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Parsec (m),0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Parsec (m),0
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Solar Mass (kg),0
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Solar Mass (kg),0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Solar Mass (kg),0
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Solar Radius (m),0
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Solar Radius (m),0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Solar Radius (m),0
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Earth Mass (kg),0
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Earth Mass (kg),0
