BinIndex,BinCenter,ObsCount,ExpCount,StdCount,ZScore,ChiSquareApprox
109,9.55453485136968,103058.0,427.044,20.496976947833065,5007.126478270744,25071315.569399983
110,28.270176166181272,267.0,429.256,20.065454492734535,-8.086335650097084,65.38882424603102
111,46.985817480992864,220.0,428.032,20.29696962603039,-10.249411800528282,105.05044225680841
112,65.70145879580446,238.0,429.546,19.0841264929784,-10.036927813828697,100.73991994000811
113,84.41710011061605,69.0,427.606,21.02956880204631,-17.05246566753691,290.7865853425251
114,103.13274142542764,35.0,428.186,20.55897380707509,-19.12478724325678,365.75748709983725
115,121.84838274023923,20.0,427.736,20.972894506958262,-19.44109335336254,377.95611077415714
116,140.56402405505082,8.0,427.948,19.654243714780776,-21.366785010617445,456.53950168994635
117,159.2796653698624,6.0,426.868,21.38379236711766,-19.6816351737112,387.3667631110659
118,177.995306684674,3.0,428.924,21.51172294354872,-19.799622797193607,392.0250629111488
119,196.7109479994856,3.0,427.636,20.729869850049713,-20.484257888333133,419.6048212357382
120,215.4265893142972,3.0,428.808,19.466461825406295,-21.87392880221636,478.46876124443037
121,234.14223062910878,1.0,428.38,20.530455426025007,-20.816878687369037,433.34243828463923
122,252.85787194392037,2.0,428.722,20.265554914682202,-21.05651692226024,443.37690489743187
123,271.57351325873196,0.0,427.748,21.28098907475872,-20.100005619915002,404.0102259206147
124,290.28915457354356,1.0,427.762,20.89787922254313,-20.42130665295643,417.0297654140826
125,309.00479588835515,0.0,428.422,20.685935221787773,-20.710787083426524,428.93670161502695
126,327.72043720316674,0.0,427.472,19.068749723041606,-22.41741101061633,502.5403164189023
127,346.43607851797833,0.0,429.456,21.708709404292094,-19.782659208432307,391.3536053569715
128,365.1517198327897,2.0,428.154,20.493957255737612,-20.794129444214164,432.39581934273446
129,383.8673611476013,0.0,427.636,21.04850360476963,-20.316693672375692,412.7680417771505
130,402.5830024624129,0.0,427.94,20.38441561585713,-20.993488754571093,440.72657008830294
131,421.29864377722447,0.0,426.79,20.885638606468326,-20.434615768359713,417.57352160049544
132,440.01428509203606,0.0,427.714,20.457375295966017,-20.907569705891877,437.12647100672774
133,458.72992640684765,0.0,428.538,19.94383503742448,-21.487241505751083,461.70154752647204
134,477.44556772165924,0.0,427.23,20.344264548024334,-21.0000218484914,441.0009176371162
135,496.16120903647084,0.0,429.21,22.05887349798262,-19.45747592411068,378.5933693373467
136,514.8768503512824,0.0,429.472,21.86223263987465,-19.644471224621565,385.9052496949847
137,533.592491666094,0.0,428.64,21.020808738010054,-20.39122306578664,415.8019781186691
138,552.3081329809056,0.0,428.032,21.644652364960717,-19.775415783203634,391.0670693985794
139,571.0237742957172,0.0,427.872,21.8306119016394,-19.599633850293877,384.1456470655856
140,589.7394156105288,0.0,428.914,20.0717364470541,-21.369053003032583,456.63642624641585
141,608.4550569253404,0.0,428.572,21.41160470399167,-20.01587484566737,400.63524583741975
142,627.170698240152,0.0,428.454,20.54545896299227,-20.85395126834389,434.8872835024618
143,645.8863395549636,0.0,428.07,20.800411053630658,-20.579881757927158,423.531533170263
144,664.6019808697752,0.0,427.292,20.51084435122066,-20.832491958068545,433.9927211829906
145,683.3176221845868,0.0,430.166,20.82417931155991,-20.657044561713242,426.71349002460664
146,702.0332634993983,0.0,428.534,21.0927675756407,-20.3166321566497,412.76554218861264
147,720.7489048142099,0.0,429.194,20.738089690229423,-20.695927465402523,428.3214136532025
148,739.4645461290215,0.0,429.352,21.164500844574626,-20.286422210144465,411.53892608824265
149,758.1801874438329,0.0,429.562,20.62896400694907,-20.823246376080633,433.6075896389552
150,776.8958287586445,0.0,427.45,20.182356155810965,-21.179390389309294,448.5665772627669
151,795.6114700734561,0.0,429.188,20.588167864091247,-20.846342561086562,434.56999817416903
152,814.3271113882677,0.0,429.132,20.825815134106996,-20.605772078385495,424.5978429463713
153,833.0427527030793,1.0,426.236,21.42018449967227,-19.852116586881223,394.1065329791246
154,851.7583940178909,0.0,427.692,20.598571212586574,-20.7631876786999,431.10996258091535
155,870.4740353327024,0.0,428.774,19.702155313569143,-21.762796667463967,473.6193187893807
156,889.189676647514,0.0,429.232,21.048472058560446,-20.39254910312745,415.85605892346416
157,907.9053179623256,0.0,430.466,20.23286544214634,-21.275582602517193,452.6504150765323
158,926.6209592771372,0.0,428.64,20.023546139482903,-21.40679762785861,458.250984680093
159,945.3366005919488,0.0,429.048,20.77945369830497,-20.647703555122746,426.3276621002285
160,964.0522419067604,0.0,427.628,20.078685614352345,-21.297609226688092,453.58815877270973
161,982.767883221572,0.0,427.464,20.435280864230858,-20.917941027579257,437.5602568332835
162,1001.4835245363836,0.0,428.786,19.79242794606059,-21.66414353855682,469.3351152591933
163,1020.1991658511952,0.0,427.196,21.2659724442594,-20.08824196117674,403.537465090782
164,1038.9148071660068,0.0,427.604,20.524794371686163,-20.833533932494703,434.0361361164082
165,1057.6304484808184,0.0,428.336,19.300339478879636,-22.193184760751393,492.53744982484784
166,1076.34608979563,0.0,426.972,19.99968039744635,-21.3489411588056,455.77728860214387
167,1095.0617311104415,0.0,427.908,21.296843334165743,-20.09255518697097,403.71077394147403
168,1113.7773724252531,0.0,428.81,19.396955946745862,-22.107077068035487,488.7228564920605
169,1132.4930137400647,0.0,430.794,20.323768449773283,-21.19656111338966,449.29420303366265
170,1151.208655054876,0.0,427.268,20.340014159287104,-21.006278395578818,441.2637320325614
171,1169.9242963696877,0.0,427.544,20.420873242836603,-20.936616907407586,438.3419275275452
172,1188.6399376844993,0.0,428.472,20.660426326675843,-20.73877824325317,430.096923022831
173,1207.3555789993109,0.0,427.786,20.197628672693245,-21.180011125680185,448.5928712839364
174,1226.0712203141225,0.0,428.882,20.08910341453793,-21.348986619762726,455.77922969080794
175,1244.786861628934,0.0,429.282,20.354618050948545,-21.09015256024394,444.794535014364
176,1263.5025029437456,0.0,428.006,19.55111157965194,-21.89164530396586,479.2441341146505
177,1282.2181442585572,0.0,426.878,19.79694713838474,-21.562819611328695,464.95518959070137
178,1300.9337855733688,0.0,428.342,19.7249343725144,-21.71576299877939,471.57436261915603
179,1319.6494268881804,0.0,428.852,20.541715994531717,-20.877126337164917,435.854404097945
180,1338.365068202992,0.0,429.168,22.11116858060651,-19.409557592375243,376.73092593173146
181,1357.0807095178036,0.0,427.762,19.93352342161314,-21.459427465602715,460.5070271514642
182,1375.7963508326152,0.0,429.918,20.165695524826315,-21.319274580473607,454.51146863762807
183,1394.5119921474268,0.0,428.396,20.254065863426042,-21.15111123310702,447.36950639526594
184,1413.2276334622384,0.0,427.732,22.127814532845317,-19.330060786848065,373.65125002324123
185,1431.94327477705,0.0,427.586,20.251385236570858,-21.113913690597624,445.7973513340058
186,1450.6589160918616,0.0,427.404,20.76758974941484,-20.58033720605651,423.5502795149938
187,1469.3745574066731,0.0,428.65,20.513300563293065,-20.896198477539755,436.65111081273477
188,1488.0901987214847,0.0,428.686,20.13224786257113,-21.2934990134406,453.41310023539575
189,1506.8058400362963,0.0,427.292,21.28104170382644,-20.07852838910469,403.147302272083
