Event,Detector,Constant,Count,RankWithinEvent
161217-v1,H1,Tau Mass (kg),5,19
161217-v1,H1,Baryon-to-Photon Ratio,5,20
161217-v1,H1,Boltzmann Constant (J/K),5,21
161217-v1,H1,Elementary Charge (C),5,22
161217-v1,H1,Square Root of 2,4,23
161217-v1,H1,Plastic Constant,4,24
161217-v1,H1,Fine-Structure Constant,4,25
161217-v1,H1,Square Root of 3,1,26
161217-v1,H1,Pi,1,27
161217-v1,H1,Speed of Light (m/s),0,28
161217-v1,H1,Solar Radius (m),0,29
161217-v1,H1,Planck Temperature (K),0,30
161217-v1,H1,Square Root of 5,0,31
161217-v1,H1,Solar Mass (kg),0,32
161217-v1,H1,Hubble Constant (km/s/Mpc),0,33
161217-v1,H1,Phi Squared,0,34
161217-v1,H1,Parsec (m),0,35
161217-v1,H1,Khinchin’s Constant,0,36
161217-v1,H1,Gas Constant R (J/(mol·K)),0,37
161217-v1,H1,Feigenbaum Delta,0,38
161217-v1,H1,Feigenbaum Alpha,0,39
161217-v1,H1,Euler’s Number,0,40
161217-v1,H1,Earth Radius (m),0,41
161217-v1,H1,Earth Mass (kg),0,42
161217-v1,H1,Coulomb Constant (N m^2 C^-2),0,43
161217-v1,H1,Cosmic Microwave Background Temp (K),0,44
161217-v1,H1,Avogadro Constant (1/mol),0,45
161217-v1,H1,Astronomical Unit (m),0,46
161217-v1,H1,Two Pi,0,47
161217-v1,L1,Catalan’s Constant,43,1
161217-v1,L1,Golden Ratio Conjugate,32,2
161217-v1,L1,Euler–Mascheroni Constant,32,3
161217-v1,L1,Golden Ratio,26,4
161217-v1,L1,Phi Squared,1,5
161217-v1,L1,Khinchin’s Constant,1,6
161217-v1,L1,Apéry’s Constant (zeta(3)),1,7
161217-v1,L1,Plastic Constant,1,8
161217-v1,L1,Feigenbaum Alpha,1,9
161217-v1,L1,Planck Temperature (K),0,10
161217-v1,L1,Pi,0,11
161217-v1,L1,Planck Charge (C),0,12
161217-v1,L1,Planck Constant (J·s),0,13
161217-v1,L1,Planck Length (m),0,14
161217-v1,L1,Planck Mass (kg),0,15
161217-v1,L1,Absolute Zero (K),0,16
161217-v1,L1,Parsec (m),0,17
161217-v1,L1,Proton Mass (kg),0,18
