Event,Detector,WindowType,Domain,Constant,Count
151008-v1,H1,OFF1,AMP_D2D,Square Root of 2,220
151008-v1,H1,OFF1,AMP_D2D,Square Root of 3,62
151008-v1,H1,OFF1,AMP_D2D,Square Root of 5,22
151008-v1,H1,OFF1,AMP_D2D,Golden Ratio Conjugate,276
151008-v1,H1,OFF1,AMP_D2D,Plastic Constant,318
151008-v1,H1,OFF1,AMP_D2D,Apéry’s Constant (zeta(3)),791
151008-v1,H1,OFF1,AMP_D2D,Catalan’s Constant,3786
151008-v1,H1,OFF1,AMP_D2D,Feigenbaum Delta,5
151008-v1,H1,OFF1,AMP_D2D,Feigenbaum Alpha,15
151008-v1,H1,OFF1,AMP_D2D,Khinchin’s Constant,12
151008-v1,H1,OFF1,AMP_D2D,Planck Length (m),35
151008-v1,H1,OFF1,AMP_D2D,Planck Time (s),35
151008-v1,H1,OFF1,AMP_D2D,Planck Mass (kg),35
151008-v1,H1,OFF1,AMP_D2D,Planck Charge (C),35
151008-v1,H1,OFF1,AMP_D2D,Planck Temperature (K),0
151008-v1,H1,OFF1,AMP_D2D,Absolute Zero (K),35
151008-v1,H1,OFF1,AMP_D2D,Cosmic Microwave Background Temp (K),10
151008-v1,H1,OFF1,AMP_D2D,Boltzmann Constant (J/K),35
151008-v1,H1,OFF1,AMP_D2D,Avogadro Constant (1/mol),0
151008-v1,H1,OFF1,AMP_D2D,Gas Constant R (J/(mol·K)),3
151008-v1,H1,OFF1,AMP_D2D,Fine-Structure Constant,40
151008-v1,H1,OFF1,AMP_D2D,Gravitational Constant (m^3 kg^-1 s^-2),35
151008-v1,H1,OFF1,AMP_D2D,Coulomb Constant (N m^2 C^-2),0
151008-v1,H1,OFF1,AMP_D2D,Planck Constant (J·s),35
151008-v1,H1,OFF1,AMP_D2D,Reduced Planck Constant (J·s),35
151008-v1,H1,OFF1,AMP_D2D,Electron Mass (kg),35
151008-v1,H1,OFF1,AMP_D2D,Proton Mass (kg),35
151008-v1,H1,OFF1,AMP_D2D,Neutron Mass (kg),35
151008-v1,H1,OFF1,AMP_D2D,Muon Mass (kg),35
